reactions,metabolites,metabolitestotal,gpr,genes
3KGK,3dhguln_c,3dhguln,STM3674,STM3674
3NTD2pp,3ump_p,3ump,STM4403,STM4403
3NTD4pp_num1,3cmp_p,3cmp,STM4403,STM4403
3NTD7pp_num1,3amp_p,3amp,STM4403,STM4403
3NTD9pp,3gmp_p,3gmp,STM4403,STM4403
3OAR100,3odecACP_c,3odecACP,STM1195,STM1195
3OAR120,3oddecACP_c,3oddecACP,STM1195,STM1195
3OAR121,3ocddec5eACP_c,3ocddec5eACP,STM1195,STM1195
3OAR140,3omrsACP_c,3omrsACP,STM1195,STM1195
3OAR141,3ocmrs7eACP_c,3ocmrs7eACP,STM1195,STM1195
3OAR160,3opalmACP_c,3opalmACP,STM1195,STM1195
3OAR161,3ocpalm9eACP_c,3ocpalm9eACP,STM1195,STM1195
3OAR180,3ooctdACP_c,3ooctdACP,STM1195,STM1195
23PDE2pp,23cump_p,23cump,STM4403,STM4403
23PDE4pp,23ccmp_p,23ccmp,STM4403,STM4403
23PDE7pp,23camp_p,23camp,STM4403,STM4403
23PDE9pp,23cgmp_p,23cgmp,STM4403,STM4403
14GLUCANabcpp,14glucan_p,14glucan,STM4229 and STM4228 and STM4227 and STM4230,STM4228
14GLUCANabcpp,14glucan_p,14glucan,STM4229 and STM4228 and STM4227 and STM4230,STM4227
14GLUCANabcpp,14glucan_p,14glucan,STM4229 and STM4228 and STM4227 and STM4230,STM4230
14GLUCANabcpp,14glucan_p,14glucan,STM4229 and STM4228 and STM4227 and STM4230,STM4229
3OAR181,3ocvac11eACP_c,3ocvac11eACP,STM1195,STM1195
3OAR40,actACP_c,actACP,STM1195,STM1195
3OAR60,3ohexACP_c,3ohexACP,STM1195,STM1195
2AGPEAT120,2agpe120_c,2agpe120,STM3010,STM3010
2AGPEAT120,ddca_c,ddca,STM3010,STM3010
ACALD_num1,acald_c,acald,STM1749,STM1749
2AGPEAT140,2agpe140_c,2agpe140,STM3010,STM3010
2AGPEAT140,ttdca_c,ttdca,STM3010,STM3010
3OAR80,3ooctACP_c,3ooctACP,STM1195,STM1195
2AGPEAT141,2agpe141_c,2agpe141,STM3010,STM3010
2AGPEAT141,ttdcea_c,ttdcea,STM3010,STM3010
2AGPEAT160,2agpe160_c,2agpe160,STM3010,STM3010
2AGPEAT160,hdca_c,hdca,STM3010,STM3010
ACBIPGT,adocbip_c,adocbip,STM2018,STM2018
ACCOAC,accoa_c,accoa,STM0232 and STM2366 and STM3379 and STM3380,STM3380
ACCOAC,accoa_c,accoa,STM0232 and STM2366 and STM3379 and STM3380,STM2366
ACCOAC,accoa_c,accoa,STM0232 and STM2366 and STM3379 and STM3380,STM0232
ACCOAC,accoa_c,accoa,STM0232 and STM2366 and STM3379 and STM3380,STM3379
ACCOAC,hco3_c,hco3,STM0232 and STM2366 and STM3379 and STM3380,STM3380
ACCOAC,hco3_c,hco3,STM0232 and STM2366 and STM3379 and STM3380,STM2366
ACCOAC,hco3_c,hco3,STM0232 and STM2366 and STM3379 and STM3380,STM0232
ACCOAC,hco3_c,hco3,STM0232 and STM2366 and STM3379 and STM3380,STM3379
2AGPEAT161,2agpe161_c,2agpe161,STM3010,STM3010
2AGPEAT161,hdcea_c,hdcea,STM3010,STM3010
ACCOAL_num1,ppa_c,ppa,STM0371,STM0371
3OAS100_num1,malACP_c,malACP,STM2378,STM2378
3OAS100_num1,ocACP_c,ocACP,STM2378,STM2378
2AGPEAT180,2agpe180_c,2agpe180,STM3010,STM3010
2AGPEAT180,ocdca_c,ocdca,STM3010,STM3010
2AGPEAT181,2agpe181_c,2agpe181,STM3010,STM3010
2AGPEAT181,ocdcea_c,ocdcea,STM3010,STM3010
3OAS120_num1,dcaACP_c,dcaACP,STM2378,STM2378
3OAS120_num1,malACP_c,malACP,STM2378,STM2378
ACGAMK,acgam_c,acgam,STM1220,STM1220
ACGAMT,uacgam_c,uacgam,STM3918,STM3918
ACGAMT,udcpp_c,udcpp,STM3918,STM3918
ACGAptspp_num1,acgam_p,acgam,STM2433 and STM1203 and STM2431 and STM2432,STM1203
ACGAptspp_num1,acgam_p,acgam,STM2433 and STM1203 and STM2431 and STM2432,STM2433
ACGAptspp_num1,acgam_p,acgam,STM2433 and STM1203 and STM2431 and STM2432,STM2431
ACGAptspp_num1,acgam_p,acgam,STM2433 and STM1203 and STM2431 and STM2432,STM2432
ACGAptspp_num1,pep_c,pep,STM2433 and STM1203 and STM2431 and STM2432,STM1203
ACGAptspp_num1,pep_c,pep,STM2433 and STM1203 and STM2431 and STM2432,STM2433
ACGAptspp_num1,pep_c,pep,STM2433 and STM1203 and STM2431 and STM2432,STM2431
ACGAptspp_num1,pep_c,pep,STM2433 and STM1203 and STM2431 and STM2432,STM2432
2AGPGAT120,2agpg120_c,2agpg120,STM3010,STM3010
2AGPGAT120,ddca_c,ddca,STM3010,STM3010
ACGK,acglu_c,acglu,STM4122,STM4122
2AGPGAT140,2agpg140_c,2agpg140,STM3010,STM3010
2AGPGAT140,ttdca_c,ttdca,STM3010,STM3010
3OAS121,cdec3eACP_c,cdec3eACP,STM2378,STM2378
3OAS121,malACP_c,malACP,STM2378,STM2378
2AGPGAT141,2agpg141_c,2agpg141,STM3010,STM3010
2AGPGAT141,ttdcea_c,ttdcea,STM3010,STM3010
2AGPGAT160,2agpg160_c,2agpg160,STM3010,STM3010
2AGPGAT160,hdca_c,hdca,STM3010,STM3010
ACGS,accoa_c,accoa,STM2992,STM2992
ACGS,glu__L_c,glu__L,STM2992,STM2992
ACHBS_num1,2obut_c,2obut,STM3795 and STM3796,STM3796
ACHBS_num1,2obut_c,2obut,STM3795 and STM3796,STM3795
ACHBS_num1,pyr_c,pyr,STM3795 and STM3796,STM3796
ACHBS_num1,pyr_c,pyr,STM3795 and STM3796,STM3795
3OAS140_num1,ddcaACP_c,ddcaACP,STM2378,STM2378
3OAS140_num1,malACP_c,malACP,STM2378,STM2378
ACKr_num1,ac_c,ac,STM3242,STM3242
ACLS_num1,pyr_c,pyr,STM3795 and STM3796,STM3796
ACLS_num1,pyr_c,pyr,STM3795 and STM3796,STM3795
2AGPGAT161,2agpg161_c,2agpg161,STM3010,STM3010
2AGPGAT161,hdcea_c,hdcea,STM3010,STM3010
2AGPGAT180,2agpg180_c,2agpg180,STM3010,STM3010
2AGPGAT180,ocdca_c,ocdca,STM3010,STM3010
2AGPGAT181,2agpg181_c,2agpg181,STM3010,STM3010
2AGPGAT181,ocdcea_c,ocdcea,STM3010,STM3010
3OAS141,cddec5eACP_c,cddec5eACP,STM2378,STM2378
3OAS141,malACP_c,malACP,STM2378,STM2378
ACMAMUT,uacmamu_c,uacmamu,STM3929,STM3929
ACMAMUT,unaga_c,unaga,STM3929,STM3929
3OAS160_num1,malACP_c,malACP,STM2378,STM2378
3OAS160_num1,myrsACP_c,myrsACP,STM2378,STM2378
ACMANAptspp,acmana_p,acmana,STM1830 and STM1831 and STM1832 and STM2431 and STM2432,STM2431
ACMANAptspp,acmana_p,acmana,STM1830 and STM1831 and STM1832 and STM2431 and STM2432,STM1831
ACMANAptspp,acmana_p,acmana,STM1830 and STM1831 and STM1832 and STM2431 and STM2432,STM1832
ACMANAptspp,acmana_p,acmana,STM1830 and STM1831 and STM1832 and STM2431 and STM2432,STM2432
ACMANAptspp,acmana_p,acmana,STM1830 and STM1831 and STM1832 and STM2431 and STM2432,STM1830
ACMANAptspp,pep_c,pep,STM1830 and STM1831 and STM1832 and STM2431 and STM2432,STM2431
ACMANAptspp,pep_c,pep,STM1830 and STM1831 and STM1832 and STM2431 and STM2432,STM1831
ACMANAptspp,pep_c,pep,STM1830 and STM1831 and STM1832 and STM2431 and STM2432,STM1832
ACMANAptspp,pep_c,pep,STM1830 and STM1831 and STM1832 and STM2431 and STM2432,STM2432
ACMANAptspp,pep_c,pep,STM1830 and STM1831 and STM1832 and STM2431 and STM2432,STM1830
3OAS161,malACP_c,malACP,STM2378,STM2378
3OAS161,tdeACP_c,tdeACP,STM2378,STM2378
2DGLCNRx,2dhglcn_c,2dhglcn,STM3646,STM3646
2DGLCNRy,2dhglcn_c,2dhglcn,STM3646,STM3646
2DGULRx,2dhguln_c,2dhguln,STM3646,STM3646
2DGULRy,2dhguln_c,2dhguln,STM3646,STM3646
ACNAMt2pp,acnam_p,acnam,STM3338,STM3338
ACOAD1f,btcoa_c,btcoa,STM0309,STM0309
ACOAD2f,hxcoa_c,hxcoa,STM0309,STM0309
2MAHMP_num1,2mahmp_c,2mahmp,STM0457,STM0457
3OAS180_num1,malACP_c,malACP,STM1197,STM1197
3OAS180_num1,palmACP_c,palmACP,STM1197,STM1197
ACOAD3f,occoa_c,occoa,STM0309,STM0309
ACOAD4f,dcacoa_c,dcacoa,STM0309,STM0309
ACOAD5f,ddcacoa_c,ddcacoa,STM0309,STM0309
3OAS181,hdeACP_c,hdeACP,STM1197,STM1197
3OAS181,malACP_c,malACP,STM1197,STM1197
ACOAD6f,tdcoa_c,tdcoa,STM0309,STM0309
ACOAD7f,pmtcoa_c,pmtcoa,STM0309,STM0309
ACOAD8f,stcoa_c,stcoa,STM0309,STM0309
ACOATA,ACP_c,ACP,STM1196 and STM1193,STM1193
ACOATA,ACP_c,ACP,STM1196 and STM1193,STM1196
ACOATA,accoa_c,accoa,STM1196 and STM1193,STM1193
ACOATA,accoa_c,accoa,STM1196 and STM1193,STM1196
ACODA,acorn_c,acorn,STM4120,STM4120
3OAS60_num1,butACP_c,butACP,STM2378,STM2378
3OAS60_num1,malACP_c,malACP,STM2378,STM2378
3OAS80_num1,hexACP_c,hexACP,STM2378,STM2378
3OAS80_num1,malACP_c,malACP,STM2378,STM2378
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,STM1679 and STM1745 and STM1744 and STM1743 and STM1742,STM1745
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,STM1679 and STM1745 and STM1744 and STM1743 and STM1742,STM1743
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,STM1679 and STM1745 and STM1744 and STM1743 and STM1742,STM1679
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,STM1679 and STM1745 and STM1744 and STM1743 and STM1742,STM1744
3PEPTabcpp,LalaDgluMdap_p,LalaDgluMdap,STM1679 and STM1745 and STM1744 and STM1743 and STM1742,STM1742
ACONTb_num1,acon_C_c,acon_C,STM0158,STM0158
ACOTA_num1,acorn_c,acorn,STM3468,STM3468
ACOTA_num1,akg_c,akg,STM3468,STM3468
ACPS1_num1,apoACP_c,apoACP,STM2577,STM2577
ACS,ac_c,ac,STM4275,STM4275
ADMDC,amet_c,amet,STM0165,STM0165
ADNK1,adn_c,adn,STM0488,STM0488
ADNUC,adn_c,adn,STM0051,STM0051
ADNt2pp_copy1_num1,adn_p,adn,STM3113,STM3113
ACt4pp,ac_p,ac,STM4273,STM4273
ADNt2pp_copy2,adn_p,adn,STM2421,STM2421
ADOCBLabcpp,adocbl_p,adocbl,STM1340 and STM1342 and STM0206,STM0206
ADOCBLabcpp,adocbl_p,adocbl,STM1340 and STM1342 and STM0206,STM1342
ADOCBLabcpp,adocbl_p,adocbl,STM1340 and STM1342 and STM0206,STM1340
ADA,adn_c,adn,STM1463,STM1463
ADOCBLtonex,adocbl_e,adocbl,STM4130 and (STM1737 and STM3158 and STM3159,STM1737
ADOCBLtonex,adocbl_e,adocbl,STM4130 and (STM1737 and STM3158 and STM3159,STM3159
ADOCBLtonex,adocbl_e,adocbl,STM4130 and (STM1737 and STM3158 and STM3159,STM3158
ADOCBLtonex,adocbl_e,adocbl,STM4130 and (STM1737 and STM3158 and STM3159,STM4130
ADPRDP,adprib_c,adprib,STM3185,STM3185
ADCS,chor_c,chor,STM3469 and STM1824,STM3469
ADCS,chor_c,chor,STM3469 and STM1824,STM1824
ADCS,gln__L_c,gln__L,STM3469 and STM1824,STM3469
ADCS,gln__L_c,gln__L,STM3469 and STM1824,STM1824
ADEt2rpp,ade_p,ade,STM3747,STM3747
ADPT,ade_c,ade,STM0483,STM0483
ADPT,prpp_c,prpp,STM0483,STM0483
ADSK,aps_c,aps,STM2933,STM2933
4PCP,LalaDgluMdapDala_c,LalaDgluMdapDala,STM1800,STM1800
ADSS,asp__L_c,asp__L,STM4366,STM4366
AGDC,acgam6p_c,acgam6p,STM0683,STM0683
ALDD3y,ppal_c,ppal,STM3680,STM3680
ALLTAMH,alltt_c,alltt,STM0527,STM0527
AGM3PA,anhgm3p_c,anhgm3p,STM0146,STM0146
AGM3PApp_num1,anhgm3p_p,anhgm3p,STM4358,STM4358
AGM3PH,anhgm3p_c,anhgm3p,STM1209,STM1209
ALLTN,alltn_c,alltn,STM0523,STM0523
ALLTNt2rpp,alltn_p,alltn,STM0522,STM0522
AGM3Pt2pp,anhgm3p_p,anhgm3p,STM0444,STM0444
AGM4PA,anhgm4p_c,anhgm4p,STM0146,STM0146
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,STM1746_S and STM1745 and STM1744 and STM1743 and STM1742,STM1746_S
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,STM1746_S and STM1745 and STM1744 and STM1743 and STM1742,STM1745
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,STM1746_S and STM1745 and STM1744 and STM1743 and STM1742,STM1743
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,STM1746_S and STM1745 and STM1744 and STM1743 and STM1742,STM1744
4PEPTabcpp,LalaDgluMdapDala_p,LalaDgluMdapDala,STM1746_S and STM1745 and STM1744 and STM1743 and STM1742,STM1742
AGM4PApp_num1,anhgm4p_p,anhgm4p,STM2991,STM2991
ALR2_num1,mthgxl_c,mthgxl,STM3165,STM3165
ALR4x,acetol_c,acetol,STM4108,STM4108
AGM4PCP,anhgm4p_c,anhgm4p,STM1800,STM1800
AM3PA,anhm3p_c,anhm3p,STM0146,STM0146
AM4PA,anhm4p_c,anhm4p,STM0146,STM0146
5DGLCNR,5dglcn_c,5dglcn,STM4483,STM4483
AM4PCP,anhm4p_c,anhm4p,STM1800,STM1800
AMALT1,malt_c,malt,STM3513,STM3513
AMALT1,malttr_c,malttr,STM3513,STM3513
AMALT2,malt_c,malt,STM3513,STM3513
AMALT2,maltttr_c,maltttr,STM3513,STM3513
AMALT3,malt_c,malt,STM3513,STM3513
AMALT3,maltpt_c,maltpt,STM3513,STM3513
AMALT4,malt_c,malt,STM3513,STM3513
AMALT4,malthx_c,malthx,STM3513,STM3513
AGM4PH,anhgm4p_c,anhgm4p,STM1209,STM1209
AGM4Pt2pp,anhgm4p_p,anhgm4p,STM0444,STM0444
AGMH,anhgm_c,anhgm,STM1209,STM1209
AGMT,agm_c,agm,STM3078,STM3078
AGMt2pp,anhgm_p,anhgm,STM0444,STM0444
AMANK,acmana_c,acmana,STM3336,STM3336
AMAOTr,8aonn_c,8aonn,STM0793,STM0793
AMAOTr,amet_c,amet,STM0793,STM0793
5DGLCNt2rpp,5dglcn_p,5dglcn,STM4482,STM4482
AGPAT120,1ddecg3p_c,1ddecg3p,STM3173,STM3173
AGPAT120,ddcaACP_c,ddcaACP,STM3173,STM3173
AGPAT140,1tdecg3p_c,1tdecg3p,STM3173,STM3173
AGPAT140,myrsACP_c,myrsACP,STM3173,STM3173
AMMQLT8,2dmmql8_c,2dmmql8,STM3970,STM3970
AMMQLT8,amet_c,amet,STM3970,STM3970
AMPMS2,air_c,air,STM4164,STM4164
AMPTASECG_num1,cgly_c,cgly,STM1057,STM1057
AMPTASEPG_num1,progly_c,progly,STM2536,STM2536
AGPAT141,1tdec7eg3p_c,1tdec7eg3p,STM3173,STM3173
AGPAT141,tdeACP_c,tdeACP,STM3173,STM3173
AGPAT160,1hdecg3p_c,1hdecg3p,STM3173,STM3173
AGPAT160,palmACP_c,palmACP,STM3173,STM3173
AGPAT161,1hdec9eg3p_c,1hdec9eg3p,STM3173,STM3173
AGPAT161,hdeACP_c,hdeACP,STM3173,STM3173
5DOAN,dad_5_c,dad_5,STM0207,STM0207
ANHMK,anhm_c,anhm,STM1446,STM1446
AGPAT180,1odecg3p_c,1odecg3p,STM3173,STM3173
AGPAT180,ocdcaACP_c,ocdcaACP,STM3173,STM3173
AGPAT181,1odec11eg3p_c,1odec11eg3p,STM3173,STM3173
AGPAT181,octeACP_c,octeACP,STM3173,STM3173
AGPR,acg5sa_c,acg5sa,STM4121,STM4121
AHCYSNS,ahcys_c,ahcys,STM0207,STM0207
ANPRT,anth_c,anth,STM1724,STM1724
ANPRT,prpp_c,prpp,STM1724,STM1724
ANS,chor_c,chor,STM1724 and STM1723,STM1723
ANS,chor_c,chor,STM1724 and STM1723,STM1724
ANS,gln__L_c,gln__L,STM1724 and STM1723,STM1723
ANS,gln__L_c,gln__L,STM1724 and STM1723,STM1724
AOBUTDs,2aobut_c,2aobut,s0001,s0001
AOXSr,ala__L_c,ala__L,STM0795,STM0795
AOXSr,pmcoa_c,pmcoa,STM0795,STM0795
AP4AH,ap4a_c,ap4a,STM0088,STM0088
AICART,10fthf_c,10fthf,STM4176,STM4176
AICART,aicar_c,aicar,STM4176,STM4176
AIRC2,air_c,air,STM0533,STM0533
AIRC2,hco3_c,hco3,STM0533,STM0533
AP5AH,ap5a_c,ap5a,STM0088,STM0088
APRAUR,5apru_c,5apru,STM0416,STM0416
AKGDH,akg_c,akg,STM0154 and STM0736 and STM0737,STM0154
AKGDH,akg_c,akg,STM0154 and STM0736 and STM0737,STM0737
AKGDH,akg_c,akg,STM0154 and STM0736 and STM0737,STM0736
AACPS1,ACP_c,ACP,STM3010 and STM1196,STM3010
AACPS1,ACP_c,ACP,STM3010 and STM1196,STM1196
AACPS1,ttdca_c,ttdca,STM3010 and STM1196,STM3010
AACPS1,ttdca_c,ttdca,STM3010 and STM1196,STM1196
AKGt2rpp,akg_p,akg,STM2654,STM2654
ALAALAabcpp,alaala_p,alaala,STM3630 and STM3629 and STM3628 and STM3627 and STM3626,STM3628
ALAALAabcpp,alaala_p,alaala,STM3630 and STM3629 and STM3628 and STM3627 and STM3626,STM3629
ALAALAabcpp,alaala_p,alaala,STM3630 and STM3629 and STM3628 and STM3627 and STM3626,STM3626
ALAALAabcpp,alaala_p,alaala,STM3630 and STM3629 and STM3628 and STM3627 and STM3626,STM3630
ALAALAabcpp,alaala_p,alaala,STM3630 and STM3629 and STM3628 and STM3627 and STM3626,STM3627
AACPS2,ACP_c,ACP,STM3010 and STM1196,STM3010
AACPS2,ACP_c,ACP,STM3010 and STM1196,STM1196
AACPS2,ttdcea_c,ttdcea,STM3010 and STM1196,STM3010
AACPS2,ttdcea_c,ttdcea,STM3010 and STM1196,STM1196
ALAALAr_num1,ala__D_c,ala__D,STM0380,STM0380
ARBTNabcpp,arbtn_fe3_p,arbtn_fe3,STM0194 and STM0192 and STM0193,STM0194
ARBTNabcpp,arbtn_fe3_p,arbtn_fe3,STM0194 and STM0192 and STM0193,STM0193
ARBTNabcpp,arbtn_fe3_p,arbtn_fe3,STM0194 and STM0192 and STM0193,STM0192
ARBTNexs,arbtn_e,arbtn,s0001,s0001
ALATA_D2_num1,ala__D_c,ala__D,STM2555,STM2555
ALATA_D2_num1,pydx5p_c,pydx5p,STM2555,STM2555
AACPS3,ACP_c,ACP,STM3010 and STM1196,STM3010
AACPS3,ACP_c,ACP,STM3010 and STM1196,STM1196
AACPS3,hdca_c,hdca,STM3010 and STM1196,STM3010
AACPS3,hdca_c,hdca,STM3010 and STM1196,STM1196
ALATA_L2_num1,ala__L_c,ala__L,STM0934,STM0934
ALATA_L2_num1,pydx5p_c,pydx5p,STM0934,STM0934
ALATRS,ala__L_c,ala__L,STM2827,STM2827
ALATRS,trnaala_c,trnaala,STM2827,STM2827
ALAabcpp,ala__L_p,ala__L,STM3560 and STM3561 and STM3563 and STM3567 and STM3562,STM3561
ALAabcpp,ala__L_p,ala__L,STM3560 and STM3561 and STM3563 and STM3567 and STM3562,STM3563
ALAabcpp,ala__L_p,ala__L,STM3560 and STM3561 and STM3563 and STM3567 and STM3562,STM3562
ALAabcpp,ala__L_p,ala__L,STM3560 and STM3561 and STM3563 and STM3567 and STM3562,STM3560
ALAabcpp,ala__L_p,ala__L,STM3560 and STM3561 and STM3563 and STM3567 and STM3562,STM3567
ARBt2rpp,arab__L_p,arab__L,STM3016,STM3016
ARBt3ipp,arab__L_c,arab__L,STM1522,STM1522
ARGAGMt7pp,agm_c,agm,STM4294,STM4294
ARGAGMt7pp,arg__L_p,arg__L,STM4294,STM4294
ALAt2pp,ala__L_p,ala__L,STM4398,STM4398
ALAt4pp,ala__L_p,ala__L,STM0006,STM0006
ARGDC_num1,arg__L_c,arg__L,STM4296,STM4296
AACPS4,ACP_c,ACP,STM3010 and STM1196,STM3010
AACPS4,ACP_c,ACP,STM3010 and STM1196,STM1196
AACPS4,hdcea_c,hdcea,STM3010 and STM1196,STM3010
AACPS4,hdcea_c,hdcea,STM3010 and STM1196,STM1196
ARGDCpp,arg__L_p,arg__L,STM3086,STM3086
ARGORNt7pp,arg__L_p,arg__L,STM1477,STM1477
ARGORNt7pp,orn_c,orn,STM1477,STM1477
ALDD2y,acald_c,acald,STM3680,STM3680
AACPS5,ACP_c,ACP,STM3010 and STM1196,STM3010
AACPS5,ACP_c,ACP,STM3010 and STM1196,STM1196
AACPS5,ocdcea_c,ocdcea,STM3010 and STM1196,STM3010
AACPS5,ocdcea_c,ocdcea,STM3010 and STM1196,STM1196
ARGSS,asp__L_c,asp__L,STM3290_S,STM3290_S
ARGSS,citr__L_c,citr__L,STM3290_S,STM3290_S
ARGTRS,arg__L_c,arg__L,STM1909,STM1909
ARGTRS,trnaarg_c,trnaarg,STM1909,STM1909
ASNNpp,asn__L_p,asn__L,STM3106,STM3106
AACPS6,ACP_c,ACP,STM3010 and STM1196,STM3010
AACPS6,ACP_c,ACP,STM3010 and STM1196,STM1196
AACPS6,ocdca_c,ocdca,STM3010 and STM1196,STM3010
AACPS6,ocdca_c,ocdca,STM3010 and STM1196,STM1196
ASNS1,asp__L_c,asp__L,STM0680,STM0680
ASNS1,gln__L_c,gln__L,STM0680,STM0680
ARGabcpp_num1,arg__L_p,arg__L,STM2355 and STM2352 and STM2351 and STM2353,STM2351
ARGabcpp_num1,arg__L_p,arg__L,STM2355 and STM2352 and STM2351 and STM2353,STM2355
ARGabcpp_num1,arg__L_p,arg__L,STM2355 and STM2352 and STM2351 and STM2353,STM2353
ARGabcpp_num1,arg__L_p,arg__L,STM2355 and STM2352 and STM2351 and STM2353,STM2352
ARGt3pp,arg__L_c,arg__L,STM3066,STM3066
ASNS2,asp__L_c,asp__L,STM3877,STM3877
AACPS7,ACP_c,ACP,STM3010 and STM1196,STM3010
AACPS7,ACP_c,ACP,STM3010 and STM1196,STM1196
AACPS7,ddca_c,ddca,STM3010 and STM1196,STM3010
AACPS7,ddca_c,ddca,STM3010 and STM1196,STM1196
ASAD,aspsa_c,aspsa,STM3539,STM3539
AACPS8,ACP_c,ACP,STM3010 and STM1196,STM3010
AACPS8,ACP_c,ACP,STM3010 and STM1196,STM1196
AACPS8,dca_c,dca,STM3010 and STM1196,STM3010
AACPS8,dca_c,dca,STM3010 and STM1196,STM1196
ASCBPL,ascb6p_c,ascb6p,STM4382,STM4382
ASCBptspp,ascb__L_p,ascb__L,STM2431 and STM2432 and STM4385 and STM4384 and STM4383_S,STM4384
ASCBptspp,ascb__L_p,ascb__L,STM2431 and STM2432 and STM4385 and STM4384 and STM4383_S,STM2432
ASCBptspp,ascb__L_p,ascb__L,STM2431 and STM2432 and STM4385 and STM4384 and STM4383_S,STM2431
ASCBptspp,ascb__L_p,ascb__L,STM2431 and STM2432 and STM4385 and STM4384 and STM4383_S,STM4383_S
ASCBptspp,ascb__L_p,ascb__L,STM2431 and STM2432 and STM4385 and STM4384 and STM4383_S,STM4385
ASCBptspp,pep_c,pep,STM2431 and STM2432 and STM4385 and STM4384 and STM4383_S,STM4384
ASCBptspp,pep_c,pep,STM2431 and STM2432 and STM4385 and STM4384 and STM4383_S,STM2432
ASCBptspp,pep_c,pep,STM2431 and STM2432 and STM4385 and STM4384 and STM4383_S,STM2431
ASCBptspp,pep_c,pep,STM2431 and STM2432 and STM4385 and STM4384 and STM4383_S,STM4383_S
ASCBptspp,pep_c,pep,STM2431 and STM2432 and STM4385 and STM4384 and STM4383_S,STM4385
AACPS9,ACP_c,ACP,STM3010 and STM1196,STM3010
AACPS9,ACP_c,ACP,STM3010 and STM1196,STM1196
AACPS9,octa_c,octa,STM3010 and STM1196,STM3010
AACPS9,octa_c,octa,STM3010 and STM1196,STM1196
ASNN_num1,asn__L_c,asn__L,STM1294,STM1294
ASNTRS_1,asn__L_c,asn__L,STM1000,STM1000
ASNTRS_1,trnaasn_c,trnaasn,STM1000,STM1000
ABTA,4abut_c,4abut,STM2792,STM2792
ABTA,akg_c,akg,STM2792,STM2792
ASNt2rpp,asn__L_p,asn__L,STM1584,STM1584
ABUTD,4abutn_c,4abutn,STM1597,STM1597
ABUTt2pp,4abut_p,4abut,STM2793,STM2793
ASP1DC,asp__L_c,asp__L,STM0180,STM0180
CRNDCAL2,crn__D_c,crn__D,STM0071,STM0071
ASPCT,asp__L_c,asp__L,STM4459 and STM4460,STM4459
ASPCT,asp__L_c,asp__L,STM4459 and STM4460,STM4460
ASPCT,cbp_c,cbp,STM4459 and STM4460,STM4459
ASPCT,cbp_c,cbp,STM4459 and STM4460,STM4460
ASPK_num1,asp__L_c,asp__L,STM0002,STM0002
ASPO3,asp__L_c,asp__L,STM2641,STM2641
ASPO4,asp__L_c,asp__L,STM2641,STM2641
ASPO4,mqn8_c,mqn8,STM2641,STM2641
ASPO5,asp__L_c,asp__L,STM2641,STM2641
ASPO5,fum_c,fum,STM2641,STM2641
ASPO6,asp__L_c,asp__L,STM2641,STM2641
CDPMEK,4c2me_c,4c2me,STM1779,STM1779
CFAS160E,amet_c,amet,STM1427,STM1427
CFAS160E,pe161_c,pe161,STM1427,STM1427
CFAS160G,amet_c,amet,STM1427,STM1427
CFAS160G,pg161_c,pg161,STM1427,STM1427
CFAS180E,amet_c,amet,STM1427,STM1427
CFAS180E,pe181_c,pe181,STM1427,STM1427
CRNDabcpp,crn__D_p,crn__D,STM2809 and STM2810 and STM2811,STM2810
CRNDabcpp,crn__D_p,crn__D,STM2809 and STM2810 and STM2811,STM2809
CRNDabcpp,crn__D_p,crn__D,STM2809 and STM2810 and STM2811,STM2811
CFAS180G,amet_c,amet,STM1427,STM1427
CFAS180G,pg181_c,pg181,STM1427,STM1427
CGLYabcpp,cgly_p,cgly,STM3630 and STM3629 and STM3628 and STM3627 and STM3626,STM3628
CGLYabcpp,cgly_p,cgly,STM3630 and STM3629 and STM3628 and STM3627 and STM3626,STM3629
CGLYabcpp,cgly_p,cgly,STM3630 and STM3629 and STM3628 and STM3627 and STM3626,STM3626
CGLYabcpp,cgly_p,cgly,STM3630 and STM3629 and STM3628 and STM3627 and STM3626,STM3630
CGLYabcpp,cgly_p,cgly,STM3630 and STM3629 and STM3628 and STM3627 and STM3626,STM3627
ASPTA,akg_c,akg,STM0998,STM0998
ASPTA,asp__L_c,asp__L,STM0998,STM0998
CHLabcpp,chol_p,chol,STM2162 and STM2163 and STM2164 and STM2165,STM2165
CHLabcpp,chol_p,chol,STM2162 and STM2163 and STM2164 and STM2165,STM2163
CHLabcpp,chol_p,chol,STM2162 and STM2163 and STM2164 and STM2165,STM2164
CHLabcpp,chol_p,chol,STM2162 and STM2163 and STM2164 and STM2165,STM2162
ASPTRS,asp__L_c,asp__L,STM1901,STM1901
ASPTRS,trnaasp_c,trnaasp,STM1901,STM1901
ASPabcpp,asp__L_p,asp__L,STM0665 and STM0664 and STM0663 and STM0662,STM0662
